检查项,是否通过,实测值,要求
官方附件齐备（附件1-4）,True,4 个文件,4 个
日期为 2025 完整 365 天且无重复,True,n=365,365 天连续
"矩阵形状 (144,365)",True,"load=(144, 365), pv=(144, 365), price=(144, 365)","(144,365)"
无缺失/非有限值,True,全部有限,全部有限
负荷、光伏非负,True,"min load=332.6196, min pv=0.0000",≥ 0
电价严格为正（附件4）,True,"min=0.0076, max=1.7936",> 0
time_map 为 1..144 完整映射,True,n=144,144 行且序号连续
Q2 数据集日期轴一致,True,n=365,与 parquet 同日序
负荷双路径重建一致（parquet vs Q2）,True,max|Δ|=2.274e-13,≤ 1e-9 kWh（浮点级一致）
光伏双路径重建一致（parquet vs Q2）,True,max|Δ|=2.274e-13,≤ 1e-9 kWh（浮点级一致）
附件1 电价 = 附件4 全年逐时段均值（4 位小数精度）,True,max|Δ|=5.151e-05,< 2e-4
附件1 负载 = 附件2 全年逐时段均值,True,max|Δ|=8.402e-06,< 1e-3 kWh
Q2 负荷/光伏预测形状,True,"Lhat=(144, 365), Ghat=(144, 365)","(144,365)"
附件3 issue=0 恰 365 行,True,n=365,365
附件3 issue=0 日期与日序一致,True,同序,同序
附件3 预报值非负且有限,True,"min=0.0000, max=9995.8875",≥0 且有限
官方预报 issue=0 的 WAPE 与 Q3 审计一致（≈0.083）,True,WAPE=0.0830,≈0.0830（±0.01）
标定期 = 2025-01-15~01-31 共 17 天,True,n=17,17
报告期 = 2025-02-01~12-31 共 334 天,True,n=334,334
报告期首日 = 2025-02-01,True,2025-02-01,2025-02-01
报告期末日 = 2025-12-31,True,2025-12-31,2025-12-31
附件4 电价统计,True,min=0.0076 max=1.7936 mean=0.7662 std=0.3407,记录备查
日内峰谷差（全年范围）,True,min=0.8718 max=1.4995 元/kWh,记录备查
"官方光伏预报 WAPE（报告期, issue=0）",True,0.083019,与 Q3 审计 0.083019 一致
Q2 光伏预测 WAPE（报告期）,True,0.066596,记录备查（对照口径）
